Date,Device ID,Device,User Group,User,Event
2024-06-29 16:02:58,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,131881,1:N authentication succeeded (Face)
2024-06-29 16:02:55,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,131881,1:N authentication succeeded (Face)
2024-06-29 16:02:52,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,131881,1:N authentication succeeded (Face)
2024-06-29 14:21:28,542185220,FaceStation 2 542185220 (192.168.5.202),All Users,1(Administrator),User update succeeded
2024-06-29 14:21:13,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,1(Administrator),User update succeeded
2024-06-29 14:21:10,542185220,FaceStation 2 542185220 (192.168.5.202),All Users,1(Administrator),User update succeeded
2024-06-29 14:21:03,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,1(Administrator),User update succeeded
2024-06-29 14:20:58,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,1(Administrator),User update succeeded
2024-06-29 14:20:55,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,1(Administrator),User update succeeded
2024-06-29 14:20:52,542185239,FaceStation 2 542185239 (192.168.5.200),All Users,1(Administrator),User update succeeded
2024-06-29 14:20:45,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,1(Administrator),User update succeeded
2024-06-29 14:20:40,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,1(Administrator),User update succeeded
2024-06-29 14:20:34,542185239,FaceStation 2 542185239 (192.168.5.200),All Users,1(Administrator),User update succeeded
2024-06-29 14:20:29,542451175,FaceStation 2 542451175 (192.168.5.205),All Users,1(Administrator),User update succeeded
2024-06-29 14:20:23,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,1(Administrator),User update succeeded
2024-06-29 14:20:11,542451175,FaceStation 2 542451175 (192.168.5.205),All Users,1(Administrator),User update succeeded
2024-06-29 14:20:05,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,1(Administrator),User update succeeded
2024-06-29 12:18:02,542451175,FaceStation 2 542451175 (192.168.5.205),All Users,115410,1:N authentication succeeded (Face)
2024-06-29 12:17:57,542451175,FaceStation 2 542451175 (192.168.5.205),All Users,115410,1:N authentication succeeded (Face)
2024-06-29 12:17:15,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,131810,1:N authentication succeeded (Face)
2024-06-29 12:17:12,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,131810,1:N authentication succeeded (Face)
2024-06-29 12:17:10,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,130999,1:N authentication succeeded (Face)
2024-06-29 12:17:08,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,130999,1:N authentication succeeded (Face)
2024-06-29 12:16:46,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,131863,1:N authentication succeeded (Face)
2024-06-29 12:16:36,542185233,FaceStation 2 542185233 (192.168.5.203),,,Authentication failed (Timeout)
2024-06-29 12:16:26,542185220,FaceStation 2 542185220 (192.168.5.202),All Users,1(Administrator),User update succeeded
2024-06-29 12:16:11,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,1(Administrator),User update succeeded
2024-06-29 12:16:01,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,1(Administrator),User update succeeded
2024-06-29 12:15:56,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,1(Administrator),User update succeeded
2024-06-29 12:15:50,542185239,FaceStation 2 542185239 (192.168.5.200),All Users,1(Administrator),User update succeeded
2024-06-29 12:15:41,542185220,FaceStation 2 542185220 (192.168.5.202),All Users,1(Administrator),User update succeeded
2024-06-29 12:15:27,542451175,FaceStation 2 542451175 (192.168.5.205),All Users,1(Administrator),User update succeeded
2024-06-29 12:15:26,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,1(Administrator),User update succeeded
2024-06-29 12:15:21,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,1(Administrator),User update succeeded
2024-06-29 12:15:16,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,1(Administrator),User update succeeded
2024-06-29 12:15:11,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,1(Administrator),User update succeeded
2024-06-29 12:15:05,542185239,FaceStation 2 542185239 (192.168.5.200),All Users,1(Administrator),User update succeeded
2024-06-29 12:14:42,542451175,FaceStation 2 542451175 (192.168.5.205),All Users,1(Administrator),User update succeeded
2024-06-29 12:14:36,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,1(Administrator),User update succeeded
2024-06-29 12:14:28,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,130105,1:N authentication succeeded (Face)
2024-06-29 12:14:24,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,130105,1:N authentication succeeded (Face)
2024-06-29 12:14:24,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,133110,1:N authentication succeeded (Face)
2024-06-29 12:14:21,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,130105,1:N authentication succeeded (Face)
2024-06-29 12:14:21,542185233,FaceStation 2 542185233 (192.168.5.203),All Users,133110,1:N authentication succeeded (Face)
2024-06-29 12:13:48,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,141100,1:N authentication succeeded (Face)
2024-06-29 12:11:34,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,120126,1:N authentication succeeded (Face)
2024-06-29 12:07:14,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132860,1:N authentication succeeded (Face)
2024-06-29 12:07:11,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132860,1:N authentication succeeded (Face)
2024-06-29 12:07:08,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132860,1:N authentication succeeded (Face)
2024-06-29 12:07:05,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132860,1:N authentication succeeded (Face)
2024-06-29 12:07:02,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,132860,1:N authentication succeeded (Face)
2024-06-29 12:04:24,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,132239,1:N authentication succeeded (Face)
2024-06-29 12:03:19,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,141180,1:N authentication succeeded (Face)
2024-06-29 12:03:08,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,141180,1:N authentication succeeded (Face)
2024-06-29 12:02:54,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,132524,1:N authentication succeeded (Face)
2024-06-29 12:02:50,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,132524,1:N authentication succeeded (Face)
2024-06-29 12:02:27,542451175,FaceStation 2 542451175 (192.168.5.205),All Users,131599,1:N authentication succeeded (Face)
2024-06-29 12:02:26,542185220,FaceStation 2 542185220 (192.168.5.202),All Users,140630,1:N authentication succeeded (Face)
2024-06-29 12:02:24,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,68257,1:N authentication succeeded (Face)
2024-06-29 12:02:24,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,141110,1:N authentication succeeded (Face)
2024-06-29 12:02:13,542451175,FaceStation 2 542451175 (192.168.5.205),All Users,120158,1:N authentication succeeded (Face)
2024-06-29 12:01:39,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,140755,1:N authentication succeeded (Face)
2024-06-29 12:01:35,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,141053,1:N authentication succeeded (Face)
2024-06-29 12:01:33,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,37780,1:N authentication succeeded (Face)
2024-06-29 12:01:31,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,141053,1:N authentication succeeded (Face)
2024-06-29 12:01:29,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,69114,1:N authentication succeeded (Face)
2024-06-29 12:01:21,542451178,FaceStation 2 542451178 (192.168.5.206),All Users,144,1:N authentication succeeded (Face)
2024-06-29 12:01:13,542185220,FaceStation 2 542185220 (192.168.5.202),All Users,116216,1:N authentication succeeded (Face)
2024-06-29 12:01:10,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,132294,1:N authentication succeeded (Face)
2024-06-29 12:01:09,542185220,FaceStation 2 542185220 (192.168.5.202),All Users,116216,1:N authentication succeeded (Face)
2024-06-29 12:01:06,542340159,FaceStation 2 542340159 (192.168.5.204),All Users,140935,1:N authentication succeeded (Face)
2024-06-29 12:01:05,542185220,FaceStation 2 542185220 (192.168.5.202),All Users,1(Administrator),User update succeeded
2024-06-29 12:00:57,542185220,FaceStation 2 542185220 (192.168.5.202),,,Authentication failed (Timeout)
2024-06-29 12:00:50,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,1(Administrator),User update succeeded
2024-06-29 12:00:49,542451175,FaceStation 2 542451175 (192.168.5.205),All Users,63070,1:N authentication succeeded (Face)
2024-06-29 12:00:47,542185216,FaceStation 2 542185216 (192.168.5.201),All Users,115609,1:N authentication succeeded (Face)
2024-06-29 12:00:46,542451175,FaceStation 2 542451175 (192.168.5.205),All Users,63070,1:N authentication succeeded (Face)
2024-06-29 12:00:46,542185239,FaceStation 2 542185239 (192.168.5.200),All Users,120106,1:N authentication succeeded (Face)
